clothing_name,clothing_color,clothing_image_url,Cloth1,Cloth2,category,skin_tone,description,price
Pastel Yellow Dress,Pastel Yellow,https://i.pinimg.com/736x/95/43/24/95432443512f668478e5c0e53f14efa5.jpg,,,Summer Outfit,Fair,"Make a statement with this sleek black cut-out bodycon dress, designed to turn heads. Featuring an asymmetrical neckline, bold side cut-outs, and a figure-flattering silhouette, this dress blends confidence with high fashion. Crafted from stretchable, premium fabric, it hugs the body comfortably while adding a modern, edgy flair. Perfect for evening parties, club nights, or upscale events—just add heels and bold accessories to complete the look.","1,599"
Mint Green Dress,Mint Green,https://i.pinimg.com/736x/a7/81/f5/a781f5d4dace6580683e5d74300d74b5.jpg,,,Party Wear Outfir,Fair,"Make a bold statement with this elegant maroon bodycon dress featuring a sleek silhouette and stylish shoulder cut-outs. Tailored to hug your curves in all the right places, this dress is made from stretchable, soft-touch fabric for both comfort and confidence. Ideal for evening parties, cocktail events, or special dinners, it's the perfect blend of sophistication and allure. Just add heels and a clutch to complete your glam look.","2,999"
Kurta& Pilajo,Brown,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/z/a/zari-silk-straight-pant-suit-in-dark-brown-color-1-lstv04062.jpg,,,Traditional Outfir,Fair,"Step into effortless style with this earthy n A-line dress, crafted for comfort and timeless charm. Featuring a button-down front, subtle puff sleeves, and a cinched waist, this dress flatters every silhouette. Made from soft, breathable fabric, it's perfect for workwear, lunch dates, or casual strolls. Style it with boots or flats and minimalist accessories for a refined, natural look.","1,300"
Jeans with Yellow Top,Pastel Yellow,https://i.pinimg.com/736x/b8/57/95/b857951edc504e639c27b0e40222957a.jpg,,,Winter Outfir,Fair," solid single-breasted overcoat, has mock collar, long sleeves, Button closure, two pockets, a straight hem","1,500"
Burgundy Sari,Burgundy,https://i.pinimg.com/736x/83/9b/4a/839b4a30dcaecef742e0faf3ffa76f93.jpg,,,Sari,Fair,Traditional Saree Fancy Banglori Silk in Burgundy,"1,311"
Blue Lehnga,Navy blue,https://i.pinimg.com/736x/fb/b4/c8/fbb4c82d64ac19d4065a3eb606419e6e.jpg,,,Bridal Lehnga,Fair,FANCY Lehenga Choli In Jorjet Fabrics With 3mm + 5mm Siqunce Embroidery Work Same As Picture With Micro Silk Inner + 2 Canvas Pata In Lehenga With Front & Back Blouse With Slives Embroidery Work Unstitched Blouse + Soft Net Dupata Work With Four Side Lace,"2,999"
Korian Pant & Top with Jacket,Rose,https://i.pinimg.com/736x/59/36/8a/59368acbbf9243b6d6e15d6ee5c1d0fe.jpg,,,Work Outfit,Light Medium,Korian Pant & Top with Jacket for Work ,"3,999"
Linen Mocha Office Outfit,,https://i.pinimg.com/736x/f4/6f/2e/f46f2e9e453a6d0bc126e300a5a5bf95.jpg,,,Work Outfit,Light Medium,"Premium Fabric – 80% European Linen, 20% Cotton; hand wash recommended. Comfort & Care – Skin-friendly, breathable, moisture-absorbing, and softens over time.","3,100"
Beige Dress,Beige,https://img.fantaskycdn.com/f2049929148dd1d675727bfae6aa81e4_1920x.jpeg,,,Weekend Outfit,Light Medium,"Premium Fabric – 80% European Linen, 20% Cotton; hand wash recommended. Comfort & Care – Skin-friendly, breathable, moisture-absorbing, and softens over time.","1,200"
Rose Pleated Maxi Dress,Rose,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSdJ1XwQlw45OkqWJiwqaitGK_jgJs-zxCph6grYE39rLkiWlQPu_1A8WQvBY-Qy2KGwP-0YZidJRY3eZiKGAHBUK21vhyFGbvOUxBjsWhnZPZBKgawZzcSAA,,,Weekend Outfit,Light Medium,"Red solid maxi dress Square neck Short, puff sleeve Maxi length in flared hem",999
Olive Dress,Olive,https://i.pinimg.com/736x/8e/9b/37/8e9b37d46f1ffcff46f646c00575b9d1.jpg,,,Summer Outfit,Light Medium,Pure cortan Dress,"1,300"
Warm Blue Dress with Bag and White Heals,Warm Blue,https://i.pinimg.com/736x/cd/3c/21/cd3c21e286889c916d9f49cb195681e8.jpg,,,Party Wear Outfir,Light Medium,Warm Blue Dress with Bag and White Heals,"3,999"
Salmon Pink Paisley Sweetheart Neck Long Anarkali Kurta,Salmon Pink,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR_ewau5uNH2vrGXKimMFxKtMyMhlryqUqS21m8lpxIQ1CMoxf2oqKfd1lNvG8V281-hG5NVEBaVskv-87hikGQledn73R-xS3fEK2EooU,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRL2VYvzkTLKsQoBUmvUqlKs6q7ZKug8w7VtJEZLotBnbur6Ki8_hwceYZrvGAvZMCBYpC-lh_BFjd0-vHFVvTc9pJqLAt-MF21S0J89sc,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQUcxYhIC3l2bhf-DDcccSa7MEeywD2ZI1vbF4CVrriuMJ8rXbkGDjgF8PVbyd2no3VTKK9Dlz3869gaC_vw9kyxDplGGahBU0_5Bc3,Traditional Outfir,Light Medium,Salmon Pink Paisley Sweetheart Neck Long Anarkali Kurta,650
Pure Acrylic Ribbed Cable Knit Detail Winter Dress,Olive Green,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQy4GhfZ1Zwc1BbFSfPi8wke3HEn1pgUv0zPclEdBecH5JyEEy64Q8IRVb5pq0sCXwTnXXvoQUG3quGeg3UkT1otMS96XUmxdTIvZ2MiWamp://s3-eu-west-1.amazonaws.com/we-attributes/dress/51/219b291464e445ec842fe325951d8159.jpg.png,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRwXf7ERDNMDqlU9lyoSIBOk-rPXklnVeXq3K4-1ghfqm5-OZ5cx9IFoeb7bI_u6ehg0nRpPFbJ3RQqTEXgS7NMkM5sYUjtWVANmJrvpTKRRPYgyQW2i98w,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRocBj1blOzAZR-ZWKzRfMbqCe67O5n3szf0q6MQONYyRoQVUtXQ7hHlIjItsFDVvYyQtxh3LWBzROApJnwuamFxvBnPKP753wjo1X8KpzG,Winter Outfir,Light Medium,,935
 Olive Green V Neck Vest High Waist Pants ,Olive Green,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQZVomOE84rLV0Sa_HVolC9wtX70idPu5z_tEl8vY05wvGO1qIUFjEG__7pPLlwSR9CwkTvSgcpTphO03bwtuFHGd8kUZhHLo4i3-huGc362DPvdpKoV8odBQ,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRMX-wMGMbzwfv3hf1zyLft1UzZprPWE_2MnptZA--iFuwNCUFc4Aa9X6r9Qw8XUWz8wfFYUZPL1JLdWJc-s7qnB08qPjPz2w,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRUbWi3Set0XGvLX0zeBBsR_ljjrVrwqgVnv5GCl9JXI5CaFPQWxPRoErbVbZMA7-UGbIxCP7BOb9kYG1gskURRfjy8WUtWKA,Work Outfit,Medium,This solid co-ord set features a V-neck sleeveless crop vest top and a pair of high-waist cargo pants with side pockets.,"1,590"
Cotton Flex Burnt Orange Buttone,Brunt Orange,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTzLWSWjFOV3kg4cxfQgj-kDtHpVBbY-A7yGcmCud7LzVD2b1xyLCwACdXO9up69mRq1LZmooLI9P1Zzr91-zhUGmaZwG35tcNxrCVrYAwH,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTodsJ-dkb50kbqZW8QMWbF_I_j_N1BUn1N0KgXxwtYh6gSbjWdoIUmd9l0tx5CVRFCmaY2GVLfE9Zou-RqE8mXXt2_pjWAn5Qzgeqle2Ut,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRKdMNqjdx2v74wYTotsplrIbIE2Dtirp1L0xEPmX-t0DaV7_IdSCE7oIp-sRxYTTU3MBId0uiaV8aN6ZOIAphPCiP2S10awQN4K6L191eb,Work Outfit,Medium,Cotton Flex Burnt Orange Buttoned Pleated Co-ord,1999
Cream Work Outfit,Cream,https://i.pinimg.com/736x/2b/4d/45/2b4d45618e1604f34759a3bf2002383f.jpg,,,Work Outfit,Medium,"Stylish beige co-ord set featuring a half-sleeve crop shirt and high-waist trousers. Made from soft, breathable fabric for all-day comfort. Perfect for casual outings, office wear, or weekend getaways. Pair with heels or sneakers for a complete look.","5,999"
Olive Ribbed Cami Top Cardigan & Trousers,Olive Green,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTO_HaW0nUQbU-hh1prPllTZbfOD_RwGeEiK9jFD8FEZRWcSK77w1p-8CjhWYN3AD2ueQsbWH87C6RPTh4OYy3sc3qdVdlr1Wv9kolydwsE2fGlcxD4kqxY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT-5oHw7uAfB2_HcT3nw0e_PvkJ4Ctdaf3nxx_vdmQYMLJfVXVUMlMBkWLbPRxWW9hQKgjk4Sla_kzFcMVoPl_kDnTlUPk771drD4KHCA,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRiFsckWLZIz0mRzvEuh3Y1D_fAmMpM4pDOTFU9N2sUu8U-mKHzLtZVdlxtzMfjUHXsXSwjGaoWRqvTbYxfwTUREst9mIO9Z-9TO0vCPrOmtMdIJks4umH4zw,Weekend Outfit,Medium,"This co-ords consists of Cami Top , Cardigan and trousers Olive green solid cami top , shoulder strap neck, sleeveless, and crop waist hem Comes with a matching cardigan Olive-Green solid mid-rise trousers, has slip-on closure and flared hem","1,399"
Short Top & Jeans ,Brunt Orange,https://i.pinimg.com/736x/24/6d/30/246d30a4d0c944d852dece07cb6469f1.jpg,,,Summer Outfit,Medium,"This co-ords consists of Cami Top , Cardigan and trousers Olive green solid cami top , shoulder strap neck, sleeveless, and crop waist hem Comes with a matching cardigan Olive-Green solid mid-rise trousers, has slip-on closure and flared hem","1,500"
Charcoal Gray Dress,Charcoal Gray,https://i.pinimg.com/736x/0c/04/18/0c04186891519c1474e2a1bf5be0d418.jpg,,,Party Wear Outfir,Medium,"Make a bold statement with this elegant maroon bodycon dress featuring a sleek silhouette and stylish shoulder cut-outs. Tailored to hug your curves in all the right places, this dress is made from stretchable, soft-touch fabric for both comfort and confidence. Ideal for evening parties, cocktail events, or special dinners, it's the perfect blend of sophistication and allure. Just add heels and a clutch to complete your glam look.","5,000"
Pink Solid Strappy High Slit Maxi Gown,Rose,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQdhJhomVhE_MhbFcAEyshECl_SUEDz5YfI-WGuwIR3zfP43q6yxlbcYZW6lqp73uzLfyTaqvzVFp-9u90zY_daEInQYk1WFSMYuLkzlT_dOIMIrqtLkdZowg,,,Party Wear Outfir,Medium,Machine Cold Wash. Wash Dark Colors Separately. Do Not Bleach. Do Not Dry Clean. Do Not Tumble Dry. Low Iron.,900
Red Short Kurti,Deep Red,https://img.tatacliq.com/images/i5/658Wx734H/MP000000005961194_658Wx734H_20191122090739.jpeg,https://img.tatacliq.com/images/i5/658Wx734H/MP000000005961194_658Wx734H_20191122090734.jpeg,https://img.tatacliq.com/images/i5/97Wx108H/MP000000005961194_97Wx108H_20191122090745.jpeg,Traditional Outfir,Medium,"Steal the show wearing this red short kurti from Ritu Kumar. Tailored to sartorial perfection from viscose and crepe fabric, it assures a soft and soothing touch against the skin. The band neck adds to its appeal. Exuding full sleeves, it is sure to fetch you compliments from all. ","1,700"
Teal Embroidered Anarkali,Teal ,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRJ08HryCByo1GYxZufJxFHigZT-x3rthu10MnRXzrk5yu7wtrY8ZPyJiuJwSX5YPZZn5WjecnmbiQVXUYh4eM1Z_-fP7rOFoXizj3y6vQ,,,Traditional Outfir,Medium,"Teal lycra Churidar and georgette Anarkali embroidered with thread, sequins, cutdana, and zardozi work. This set comes with a matching net dupatta.","1,900"
Women Tranquil Teal Sleek Jumper Dress,Teal ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQjbqAFUvqXjowSna1DudklTIbQgGVJKil0N4UjtEsP3_828p-2ol9WD0UKgjEJCeGL9M4Ka7mOWSUMrzym9H7AiSavO-sepORpXihp1MnGjHJlIbnyTuNb,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRybIr9tDzrGhY9EnGvXMg4zS9Ugm9dTlnolGnhmiJNNQwBT8J1ROQutokTflFQoRlnlaRyqcZz4hkisfcbK_E-BidRTEwJoU7GR19i0EA1yWMbC_klZG8z,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSEpXDdNmPmFsvnyJmNPdH9A2u0O4u8mRCw_DKIj4fYfWom5W-VwCrcTfX8BAMre4xNtP6SF-3m64f8YzjUqM4_bF5YuPFmBnxubS67dzPUYQO7lIjr2cjHcg,Winter Outfir,Medium,"Slip on this stylish dress and take a twirl to make heads turn. Beautifully crafted with solid pattern and long sleeves, this dress is a perfect pick for you. ",799
Play Again Sweater Maxi Dress,Olive Green,https://is4.revolveassets.com/images/p4/n/z/BLAN-WD28_V1.jpg,,,Winter Outfir,Medium,"54% viscose, 28% polyester, 18% nylon
Made in China
Hand wash
Unlined
Pull-on styling
Off the shoulder styling with foldover neckline
Midweight ribbed knit fabric","1,200"
Gray Sari,Gray,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTAzA_c22eSz0RdUjsVeC6URWgQvy2EXZ2jesTUwLCf8F1Qw64nM5-jeHGFVxIWR3cSPI_-jgVpjFSyJkDJjNwOH92g8uU_B9QjlaqhtHvKacAo1n62bBWt,,,Sari,Medium,,900
Sari,Brunt Orange,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSf_xTsOGxzsKPR4Wi_xfP05F73NJ8Arx0dTSp0VbLMceDc5W5DJhshnl3808NynBOFEoe3MGIdmzaBnf-Zk20tjjcJQCEBBZeVzFwH5I-KW5pL7LhReBR-,,,Sari,Medium,,"1,800"
Women Beige Misty Premium Woolen Knitted Midi Dress,Cream,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSIkrJzjEBj6eD-WxYsUj6ITx9Y6CgL1mhFVXbH0Gm6t4swVM819t7sZH6RyU5Ccopupzl9keSlC0Fn97g6aGoRXUa410uYO_p4C3S3d7E,,,Winter Outfir,Medium,"Misty Premium Woolen Knitted SheathMidi Dress. Designed by Alamode By Akanksha, this cozy winter dress offers warmth and style for chilly day out. Crafted with premium materials, it ensures maximum comfort and good look.","1,500"
rose Lehnga,Rose,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQcgiu7sX_wOATK9Ou5JdPl5hJczjim5BehMPZQPIN9NGbEOJTWryJbSCnlkOmomaLvP20WLHb12tbYvRempcurkmDkmjZu4tzVe0ST9Cwg,,,Lehnga,Medium,"Lehenga: Made from premium Japan Satin Silk, adorned with exquisite Dori, sequins, and zari work for a luxurious appeal. Comes with attached can-can and a graceful 3-meter flair for the perfect twirl!","15,000"
Green Self-Design Round-Neck Pure Cotton Top With Trouser,Deep Green ,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTI4-_Hh1mn8kpIQ8bUldXu5t4QxQPKOTAJs9hK4xuF-XZFAHX6boSosfx0KCvYaNrMoTti-IxqJr-LHCIs-6YpmtVxphbJns2suJ2VTcQuwKZEcoAp_jXFnQ,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRnJY6fhmVK3sgX4dRzg_la3xAvCLFu7CXjQ13BJGfftMz-CkAtQgANMyso_8sj2LFragigr1KkpvP_lFVptNTanZXAij6DrD-IJ-WsVJ71lUws_C5cnk1R,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSXQGMU5DH0X21OciCaliYkHR1n97BbFo0Wy4DIWxvXGNviiULqlLCB3hXgpk3qQwxRox56Rj9oRmhunNyhcGWXHXRSSUBmOA_nW4zYK1M,Work Outfit,Tan,"This co-ords consists of top and trouser Green self-design top, has round-neck, full sleeves, slip-on closure and regular waist hem Green self-design mid-rise trouser, has slip-on closure and straight hem",899
SKY BLUE COLOUR TOP AND PANT ,Sky Blue,https://images.meesho.com/images/products/454678154/puk3t_512.webp,https://images.meesho.com/images/products/454678154/6ioa0_1200.jpg,https://images.meesho.com/images/products/454678154/yv5ig_1200.jpg,Work Outfit,Tan,Name : NEW FANCY DESIGNING SOLID CASUAL AND OFFICE WEAR SKY BLUE COLOUR TOP AND PANT CO-ORDS SET FOR WOMEN,899
 Relaxed Fit Travel Dress,Burnt Orange ,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRfQC0Qp63dT8kInnHue6MGAj2tEutKXlVyHKgwjvvHV3EpVUSN6J6SfmB3xeC074vlr2Z26LwKJf66isnGPvkVhiW92MbDZMKAs-zRQ7DL_u6YeY7rf0T2YQ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSX5ge6vVbQFLum6iYPaax72fe9tacXrYky1LVtoDZQSHW5Xr0vkdO8ppGRuz4O2loYmcYcD-0Uv4V6Xnsau6668T21Zrfu676R1LasJJ6w,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRsYLOhyjLKLX_kOZP03k346V110ASX5p5qY3KD9unGnFe-wRWntVLf56u09bZ_8YbfQ6ql3uaGm7vNdakz4m0KSzkgOmEZD1X4vY3gRNY,Work Outfit,Tan,"Designed And Crafted By THREAD GAME, Using Natural Hand Woven Softest Fabric.","1,999"
Green A-Line Dress,Deep Green ,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQQhhzFq1GGjMJItt-I96R4u2lD9Q2R42MSwuysuPl3HnXJ6rBzWWYgbzQMUC2zkqh-Tn4c7vJxORQaa27Qtq2oVr0MVEI_sqjd2CqrRZY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSnU3zEqPtCzW4BgD3bQvY7HA2WxvUxryGprpp1K_4Wgj3k-_gNlC4iwCcxOhOqzG3Xj4941zAbj1llkO7Ye4HeMzEVE2dvloe8VkujrHurdU3gVKeIAc-g,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSm6vw7Ardkgn3GUaVLT_wmKQzpANFfyMC9hTwme6mQ9hWfJuT44O0_hcKCUUagyOCGdKs-TBu_65GgaQqqQLGsvUVXlyZPdnPPnDAz-0c,Weekend Outfit,Tan,"Green solid a-line dress Round neck Short, regular sleeves Knee length in flared hem Button closure Comes with a belt","1,700"
Women Copper Sleevless Maxi Dress,Copper ,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSZdRDIYvmWNhA8NZAvWdwBDTwK4wpYq8eSHqH765lMPjIZhUsMGPGi3QlszZVnobAwGt2Pw0wYULG8NZYZp0qx4PaJ7xZ-xjZofRDMmd4_OTtRsrPu3Q5AaA,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS2h-CAhLHCEPS_RYYdtVVnt4ZYQCOJfZ5hyBZvU9EWeZMnnbh5teDIbEPDuGSW0KW68X6jvkhINjUQAz3surJjZfHY3ixTxDaHzFuNVm3_,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT84DQhB6EY4PlE7xVKS39cpMl5z4F-NoeBPF3VczpGdFA_D-E56ZYbec10TJMge-i8IUN3yaZpvM54Az_Qd2hGMLVofkeeRyAxkanKKWM,Weekend Outfit,Tan,"Copper-toned self design maxi dress Round neck Sleeveless, no sleeves Gathered or pleated detail",899
Shirt & jeans,Sky Blue,https://i.pinimg.com/736x/59/15/97/59159719893ca8de789a763ac45cd4c9.jpg,,,Weekend Outfit,Tan,"Stylish beige co-ord set featuring a half-sleeve crop shirt and high-waist trousers. Made from soft, breathable fabric for all-day comfort. Perfect for casual outings, office wear, or weekend getaways. Pair with heels or sneakers for a complete look.","1,899"
Summer Dress,Deep Green ,https://i.pinimg.com/736x/cd/2b/8d/cd2b8ddaed41ed03c13815ebf289c16c.jpg,,,Summer Outfit,Tan,"This co-ords consists of Cami Top , Cardigan and trousers Olive green solid cami top , shoulder strap neck, sleeveless, and crop waist hem Comes with a matching cardigan Olive-Green solid mid-rise trousers, has slip-on closure and flared hem",1800
Shirt&Skurt,Burgundy,https://d2bzx2vuetkzse.cloudfront.net/fit-in/0x700/outfits/03bcb798-356e-448b-a2d3-1568001b2eda.jpeg,https://shoplook.io/product-preview/burgundy-satin-blouse/17877316?from=OutfitItems,https://shoplook.io/product-preview/burgundy-corduroy-aline/1166247?from=OutfitItems,Party Wear Outfir,Tan,"Make a bold statement with this elegant maroon bodycon dress featuring a sleek silhouette and stylish shoulder cut-outs. Tailored to hug your curves in all the right places, this dress is made from stretchable, soft-touch fabric for both comfort and confidence. Ideal for evening parties, cocktail events, or special dinners, it's the perfect blend of sophistication and allure. Just add heels and a clutch to complete your glam look.","1,500"
Pakistani Sout,Dark Gray,https://i.pinimg.com/736x/3a/61/e2/3a61e28739fc8ff6cd11640ad013f7e8.jpg,,,Traditional Outfir,Tan,"Steal the show wearing this red short kurti from Ritu Kumar. Tailored to sartorial perfection from viscose and crepe fabric, it assures a soft and soothing touch against the skin. The band neck adds to its appeal. Exuding full sleeves, it is sure to fetch you compliments from all. ","1,700"
